"transaction_id","user_id","subscription_id","quantity","product_name","type","timestamp","reference_number","stripe_session_id","stripe_invoice_id","stripe_customer_id","datatrans_transaction_id","price_amount","price_currency","carbon_amount","carbon_mix","transaction_status"
"195","51","62",NULL,"Climate Hero","RECURRING","2021-10-15 22:26:47","6119693625210",,"in_1Jkw0uC86j9xUPn05eokjmky","cus_K2uljDOqgipIvH",,"3600","CHF","1167","standard","CREATED"
"196","77","64",NULL,"Climate Activist","RECURRING","2021-10-16 22:49:54","611ac000baae5",,"in_1JlIsrC86j9xUPn0N2wUP36i","cus_K3INtEsV2SGaB6",,"1900","CHF","584","standard","CREATED"
"197","76","63",NULL,"Climate Activist","RECURRING","2021-10-18 19:45:11","611a83b0d08da",,"in_1JlEnXC86j9xUPn0rwEtfAve","cus_K3EBD5oiMRCx2I",,"1900","CHF","584","standard","CREATED"
"198","85","67",NULL,"Climate Activist","RECURRING","2021-10-19 16:05:57","614734dc9fd12",,"in_1JmI0BC86j9xUPn0CyiKpmJy","cus_KFvYxJnDf4Dm0Y",,"1900","CHF","584","standard","CREATED"
"199","65","53",NULL,"Climate Activist","RECURRING","2021-10-21 01:35:05","60f74f36847ee",,"in_1JmnMzC86j9xUPn0r0kPiBrt","cus_JtDxIjibE8SJSe",,"1900","CHF","584","standard","CREATED"
"200","68","54",NULL,"Climate Citizen","RECURRING","2021-10-21 09:41:28","60f7c11213da8",,"in_1JmuxXC86j9xUPn0POVzhN54","cus_JtLoN47FeAiCB1",,"1000","CHF","292","standard","CREATED"
"201","69","55",NULL,"Climate Activist","RECURRING","2021-10-23 19:02:19","60fae7156171f",,"in_1JnmfHC86j9xUPn0JiA8c9LW","cus_JuFH9WJAdUfmw9",,"1900","CHF","584","standard","CREATED"
"202","87","73",NULL,"Climate Citizen","RECURRING","2021-10-25 10:29:52","614ecee69a168",,"in_1JoNcGC86j9xUPn0BMS2h4gS","cus_KI5TgVOPVGHUfi",,"1000","CHF","292","standard","CREATED"
"203","76","70",NULL,"Climate Activist","RECURRING","2021-10-25 11:19:26","614b076e79754",,"in_1JnL9hC86j9xUPn0To5Au0Jl","cus_KH0sLJj4H0RyiW",,"1900","CHF","584","standard","CREATED"
"204","88","76",NULL,"Climate Citizen","RECURRING","2021-11-01 07:39:40","61569e9828ffd",,"in_1JqtE9C86j9xUPn0dnw7YH4m","cus_KKJ4XZpDcJdrSt",,"1000","CHF","292","standard","CREATED"
"205","71","57",NULL,"Climate Citizen","RECURRING","2021-11-02 10:48:23","6107b076b4c54",,"in_1JrIdZC86j9xUPn0ZYfAVUtI","cus_JxsY2POJQmzh0K",,"1000","CHF","292","standard","CREATED"
"206","72","58",NULL,"Climate Hero","RECURRING","2021-11-04 22:27:43","610af7dcd46e6",,"in_1JsCWBC86j9xUPn0XUHRqNd1","cus_JyoIzSvevdLSj6",,"3600","CHF","1167","standard","CREATED"
"207","74","60",NULL,"Climate Activist","RECURRING","2021-11-08 23:55:01","611052442b9dc",,"in_1JtfmnC86j9xUPn0bI9O9Zvs","cus_K0KbLcNe6h7177",,"1900","CHF","584","standard","CREATED"
